ADS year,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
ADS month,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,7,7,7,7,7,7
ADS abstract link,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2021arXiv210302608B/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2020arXiv201202274R/abstract,https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract,https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract,https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract,https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract,https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract,https://ui.adsabs.harvard.edu/abs/2021A%26A...651A.100O/abstract
ArXiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2012.02274,https://arxiv.org/abs/2102.05649,https://arxiv.org/abs/2102.05649,https://arxiv.org/abs/2102.05649,https://arxiv.org/abs/2102.05649,https://arxiv.org/abs/2102.05649,https://arxiv.org/abs/2102.05649
First Author,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,Broekgaarden,"Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime","Román-Garza, Jaime",Olejak21-M380 (fiducial),Olejak21-M380 (fiducial),Olejak21-M480 (changedCEcriteria),Olejak21-M480 (changedCEcriteria),Olejak21-M481 (changedCEcriteria+switch),Olejak21-M481 (changedCEcriteria+switch)
label string,B22-A-fiducial,B22-A-fiducial,B22-B-beta0-25,B22-B-beta0-25,B22-C-beta0-5,B22-C-beta0-5,B22-D-beta0-75,B22-D-beta0-75,B22-E-unstableBB,B22-E-unstableBB,B22-F-unstableBB-optimistic,B22-F-unstableBB-optimistic,B22-G-alpha0-1,B22-G-alpha0-1,B22-H-alpha0-5,B22-H-alpha0-5,B22-I-alpha2,B22-I-alpha2,B22-J-alpha10,B22-J-alpha10,B22-K-optimisticCE,B22-K-optimisticCE,B22-L-rapid,B22-L-rapid,B22-M-max-mNS:2,B22-M-max-mNS:2,B22-N-max-mNS:3,B22-N-max-mNS:3,B22-O-noPISN,B22-O-noPISN,B22-P-sigma:100,B22-P-sigma:100,B22-Q-sigma:30,B22-Q-sigma:30,B22-R-noBHkick,B22-R-noBHkick,B22-S-fWR:0-1,B22-S-fWR:0-1,B22-T-fWR:5,B22-T-fWR:5,RG21-SN:N20,RG21-SN:N20,RG21-SN:rapid,RG21-SN:rapid,RG21-SN:delayed,RG21-SN:delayed,RG21-ESCN:Full-SN:N20,RG21-ESCN:Full-SN:N20,RG21-ESCN:Full-SN:rapid,RG21-ESCN:Full-SN:rapid,RG21-ECSN:Full-SN:delayed,RG21-ECSN:Full-SN:delayed,RG21-noBHkick-SN:N20,RG21-noBHkick-SN:N20,RG21-noBHkick-SN:rapid,RG21-noBHkick-SN:rapid,RG21-noBH-kick-SN:delayed,RG21-noBH-kick-SN:delayed,Olejak21-M380 (fiducial),Olejak21-M380 (fiducial),Olejak21-M480 (changedCEcriteria),Olejak21-M480 (changedCEcriteria),Olejak21-M481 (changedCEcriteria+switch),Olejak21-M481 (changedCEcriteria+switch)
code,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,COMPAS,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,POSYDON,StarTrack,StarTrack,StarTrack,StarTrack,StarTrack,StarTrack
"type of limit (for plotting, see jupyter notebook for a dictionary) ",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1],fraction,rate [Gpc^-3 yr^-1]
.0.0.0,0.03908564663,43.02277651,0.1119818406,17.82799294,0.2143180959,10.11018047,0.4677331915,4.70160815,0.08712483779,8.199414629,0.04916964531,27.5952393,0.001011358352,3.304914305,0.09056921223,9.203985594,0.01782075127,51.68212332,0.00449771217,17.91214103,0.03802291787,53.293,0.0102483984,131.2264722,0.04385434188,39.20624627,0.04767777981,46.53685197,0.0390902261,43.77647507,0.1414804408,137.1876773,0.2318174608,282.5431898,8.36E-05,225.5014272,0.03531267886,64.00103451,0.2881506658,5.700943696,0.000,77.240,0.00,10.140,0.00,5.650,0,69.350,0,10.710,0,5.810,0.000,77.240,0,16.54,0,32.67,0.2290076336,13.1,0.1153846154,15.600,0.2682926829,4.1
